DOC_NO,PLANT,PURPOSE,SUBJECT,STATUS,PROGRESS,REQUESTER,REG_DATE,COMP_DATE,URL,CHANGE_ITEM,CHANGE_CONTENT,MTL
MANA-DOC-2026-00091,IP,Prevent nonconformity,[IP] - Re-Approval OE RIVIAN RPV / request to improve LRC (S/W Ga. Spec) ,Complete,Complete,61600224,2026-04-15,2026-04-21,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00091,Profile,R/C Positon shift to below RCL line + S/W Ga.Optimization,1
MANA-DOC-2026-00090,JP,Prevent nonconformity,JP Variable Sub Tread (China Worst return 4specs / 260mm Preformer Die),Complete,Complete,21604680,2026-04-15,2026-04-20,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00090,etc,JP Variable Sub Tread (China Worst return 4specs),4
MANA-DOC-2026-00089,HP,Improve Quality,BYD SC2EM（215/60R17H  IK41A）SC/LI改善承认邀请,Complete,Complete,81100266,2026-04-13,2026-04-15,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00089,Profile,肩宽+2，全宽+6,1
MANA-DOC-2026-00088,MP,Cost Optimization,OE cure code change (BMW) - 1027400,Complete,Complete,71607863,2026-04-10,2026-04-14,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00088,Curing,Cure code change from DH to KF,1
MANA-DOC-2026-00087,JP,The others,VW Golf 8 PA M-code Change,Complete,Complete,21600124,2026-04-03,2026-04-03,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00087,etc,Only M-code change from 1035776 to 1038842 with same specification,1
MANA-DOC-2026-00086,DP,The others,"GSO 인증 강화 대응 목적 각인 공기압 변경 (215/75R17.5 12PR AH35-3002239, 215/75R17.5 12PR DH35-3002240 )",Reject(Request),Complete,21604344,2026-04-03,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00086,Mold,"Load&Pressure, Test psi 각인 공기압 변경 ( 725kPa → 700kPa )",2
MANA-DOC-2026-00085,JP,Improve Productivity,"JP）Toyota 290D 1030192 硫化方式变更 生产性向上(生产性效果约 1,695本/日)",Reject(Final Approval),Complete,81703216,2026-04-02,2026-04-03,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00085,Curing,硫化方式：63DH861→63KF741,1
MANA-DOC-2026-00084,KP,Improve manufaturing process,"GM Trax 17"" (225/60R17H RA33 G) 공장지 이관 ( KP2 → KP1 )",Waiting for Reception,On-going,21602365,2026-04-02,null,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00084,etc,공장지 이관 KP2 →  KP1 (H1670),1
MANA-DOC-2026-00083,CP,Improve Productivity,CP) GAC T88 1031560 225/55R18HXL RA33 63DH→63KF 硫化方式变更 硫化生产性向上（生产性效果120000本/年）,Complete,Complete,81703346,2026-03-31,2026-04-20,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00083,Curing,63DH955→63KF835,1
MANA-DOC-2026-00082,JP,Prevent nonconformity,"JP Variable Sub Tread (26"" OE Mass Production Specs)",Complete,Complete,21604680,2026-03-30,2026-04-03,https://egqms.hankooktech.com/CHANGE_MANAGE_FOUR_M/Cqms4mChangeReportArenaPopup.html?callid=filter&BYMENU=Y&PART=3&DOCUMENT_NO=MANA-DOC-2026-00082,etc,"JP Variable Sub Tread (26"" OE Mass Production Specs)",108
